+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|  33/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  34/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  34/0 |    |      |      | RFSH |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  35/1 |    |      |      |      |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  35/0 |    |      |      |      |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | LD I,A       |
|  36/1 | M1 |      |      |      |    |    |     |     |      | 0009 | 47 | 0009 | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  36/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0009 | 47 | 000A | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  37/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0009 | CD | 000A | 0000 | 47 | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  37/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0009 | CD | 000A | 0000 | 00 | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
|  38/1 |    |      |      | RFSH |    |    |     |     |      | 0007 | CD | 000A | 0000 | CD | 0044 | 5555 | 5555 | FF FF | FF FF | CALL 001Eh   |
