+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
| 32/0 |    | MREQ |      |      | RD |    | 0009 | 21 | 000A | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 33/1 |    | MREQ |      |      | RD |    | 0009 | 0D | 000A | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 33/0 |    | MREQ |      |      | RD |    | 0009 | 0D | 000A | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 34/1 |    | MREQ |      |      | RD |    | 0009 | 0D | 000A | 002E | 21 | 5555 | 5555 | 40 | LD HL,000Dh  |
| 34/0 |    |      |      |      |    |    | 0009 | 0D | 000A | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 35/1 |    |      |      |      |    |    | 000A | 0D | 000A | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 35/0 |    | MREQ |      |      | RD |    | 000A | 0D | 000B | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 36/1 |    | MREQ |      |      | RD |    | 000A | 00 | 000B | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 36/0 |    | MREQ |      |      | RD |    | 000A | 00 | 000B | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 37/1 |    | MREQ |      |      | RD |    | 000A | 00 | 000B | 002E | 21 | 5555 | 550D | 40 | LD HL,000Dh  |
| 37/0 |    |      |      |      |    |    | 000A | 00 | 000B | 002E | 21 | 5555 | 000D | 40 | LD HL,000Dh  |
| 38/1 | M1 |      |      |      |    |    | 000B | 00 | 000B | 002E | 21 | 5555 | 000D | 40 | INC (HL)     |
| 38/0 | M1 | MREQ |      |      | RD |    | 000B | 00 | 000C | 002E | 21 | 5555 | 000D | 40 | INC (HL)     |
| 39/1 | M1 | MREQ |      |      | RD |    | 000B | 34 | 000C | 002E | 21 | 5555 | 000D | 40 | INC (HL)     |
| 39/0 | M1 | MREQ |      |      | RD |    | 000B | 34 | 000C | 002E | 00 | 5555 | 000D | 40 | INC (HL)     |
| 40/1 |    |      |      | RFSH |    |    | 0003 | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 40/0 |    | MREQ |      | RFSH |    |    | 0003 | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 41/1 |    | MREQ |      | RFSH |    |    | 0003 | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 41/0 |    |      |      | RFSH |    |    | 0003 | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 42/1 |    |      |      |      |    |    | 000D | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
| 42/0 |    | MREQ |      |      | RD |    | 000D | 34 | 000C | 002E | 34 | 5555 | 000D | 40 | INC (HL)     |
