+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|ins/t | M1 | MREQ | IORQ | RFSH | RD | WR | INT | IFF | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | ieo | pio   | asm          |
|  8/7 |    |      |      |      |    |    |     | 0,0 | 001B | 03 | 001C | FFFE | 06 | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD B,03h     |
|  9/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001C | 03 | 001D | FFFE | 06 | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/2 |    |      |      |      |    |    |     | 0,0 | 001C | 0E | 001D | FFFE | 0E | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000A | 0E | 001D | FFFE | 0E | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/4 |    |      |      |      |    |    |     | 0,0 | 000A | 0E | 001D | FFFE | 0E | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/5 |    |      |      |      |    |    |     | 0,0 | 000A | 0E | 001D | FFFE | 0E | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/6 |    | MREQ |      |      | RD |    |     | 0,0 | 001D | 0E | 001E | FFFE | 0E | 0044 | 03FF | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
|  9/7 |    |      |      |      |    |    |     | 0,0 | 001D | 1D | 001E | FFFE | 0E | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | LD C,1Dh     |
| 10/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001E | 1D | 001F | FFFE | 0E | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/2 |    |      |      |      |    |    |     | 0,0 | 001E | ED | 001F | FFFE | ED | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000B | ED | 001F | FFFE | ED | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/4 |    |      |      |      |    |    |     | 0,0 | 000B | ED | 001F | FFFE | ED | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/5 | M1 | MREQ |      |      | RD |    |     | 0,0 | 001F | ED | 0020 | FFFE | ED | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/6 |    |      |      |      |    |    |     | 0,0 | 001F | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/7 |    | MREQ |      | RFSH |    |    |     | 0,0 | 000C | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/8 |    |      |      |      |    |    |     | 0,0 | 000C | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/9 |    |      |      |      |    |    |     | 0,0 | 000C | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/10|    |      |      |      |    |    |     | 0,0 | 000C | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0050 | FF | 1,1 | FF,FF | OTIR         |
| 10/11|    | MREQ |      |      | RD |    |     | 0,0 | 0050 | B3 | 0020 | FFFE | B3 | 0044 | 031D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/12|    |      |      |      |    |    |     | 0,0 | 0050 | CF | 0020 | FFFE | B3 | 0044 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/13|    |      |      |      |    |    |     | 0,0 | 0050 | CF | 0020 | FFFE | B3 | 0044 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/14|    |      | IORQ |      |    | WR |     | 0,0 | 021D | CF | 0020 | FFFE | B3 | 0044 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/15|    |      |      |      |    |    |     | 0,0 | 021D | CF | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/16|    |      |      |      |    |    |     | 0,0 | 021D | CF | 0020 | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/17|    |      |      |      |    |    |     | 0,0 | 021D | CF | 001E | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
| 10/18|    |      |      |      |    |    |     | 0,0 | 021D | CF | 001E | FFFE | B3 | 0013 | 021D | 0051 | FF | 1,1 | FF,FF | OTIR         |
