+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
|    48 |    | MREQ |      |      |    | WR |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    49 |    |      |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    50 |    |      |      |      |    |    |     |     |      | FFFF | 00 | 000C | FFFF | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    51 |    | MREQ |      |      |    | WR |     |     |      | FFFE | 0C | 001E | FFFE | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    52 |    |      |      |      |    |    |     |     |      | FFFE | 0C | 001E | FFFE | CD | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
|    53 | M1 | MREQ |      |      | RD |    |     |     |      | 001E | 0C | 001F | FFFE | CD | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    54 |    |      |      |      |    |    |     |     |      | 001E | 21 | 001F | FFFE | 21 | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    55 |    | MREQ |      | RFSH |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    56 |    |      |      |      |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    57 |    |      |      |      |    |    |     |     |      | 0008 | 21 | 001F | FFFE | 21 | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    58 |    | MREQ |      |      | RD |    |     |     |      | 001F | 21 | 0020 | FFFE | 21 | 0044 | FFFF | FFFF | FF FF | FF FF | LD HL,0050h  |
|    59 |    |      |      |      |    |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | FFFF | FF50 | FF FF | FF FF | LD HL,0050h  |
|    60 |    |      |      |      |    |    |     |     |      | 001F | 50 | 0020 | FFFE | 21 | 0044 | FFFF | FF50 | FF FF | FF FF | LD HL,0050h  |
