+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
| 7/4 |    |      |      |      |    |    | 0006 | ED | 0018 | FFFE | ED | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/1 | M1 | MREQ |      |      | RD |    | 0018 | ED | 0019 | FFFE | ED | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/2 |    |      |      |      |    |    | 0018 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/3 |    | MREQ |      | RFSH |    |    | 0007 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/4 |    |      |      |      |    |    | 0007 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/5 |    |      |      |      |    |    | 0007 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/6 |    |      |      |      |    |    | 0007 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0030 | FF | AA,FF | OTIR         |
| 8/7 |    | MREQ |      |      | RD |    | 0030 | B3 | 0019 | FFFE | B3 | FFFF | 031D | 0031 | FF | AA,FF | OTIR         |
| 8/8 |    |      |      |      |    |    | 0030 | CF | 0019 | FFFE | B3 | FFFF | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/9 |    |      |      |      |    |    | 0030 | CF | 0019 | FFFE | B3 | FFFF | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/10|    |      | IORQ |      |    | WR | 021D | CF | 0019 | FFFE | B3 | FFFF | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/11|    |      |      |      |    |    | 021D | CF | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/12|    |      |      |      |    |    | 021D | CF | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/13|    |      |      |      |    |    | 021D | CF | 0017 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/14|    |      |      |      |    |    | 021D | CF | 0017 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/15|    |      |      |      |    |    | 021D | CF | 0017 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/16|    |      |      |      |    |    | 021D | CF | 0017 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 8/17|    |      |      |      |    |    | 021D | CF | 0017 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 9/1 | M1 | MREQ |      |      | RD |    | 0017 | CF | 0018 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 9/2 |    |      |      |      |    |    | 0017 | ED | 0018 | FFFE | ED | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 9/3 |    | MREQ |      | RFSH |    |    | 0008 | ED | 0018 | FFFE | ED | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
| 9/4 |    |      |      |      |    |    | 0008 | ED | 0018 | FFFE | ED | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/1 | M1 | MREQ |      |      | RD |    | 0018 | ED | 0019 | FFFE | ED | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/2 |    |      |      |      |    |    | 0018 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/3 |    | MREQ |      | RFSH |    |    | 0009 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/4 |    |      |      |      |    |    | 0009 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/5 |    |      |      |      |    |    | 0009 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/6 |    |      |      |      |    |    | 0009 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0031 | FF | AA,FF | OTIR         |
|10/7 |    | MREQ |      |      | RD |    | 0031 | B3 | 0019 | FFFE | B3 | FF13 | 021D | 0032 | FF | AA,FF | OTIR         |
|10/8 |    |      |      |      |    |    | 0031 | FF | 0019 | FFFE | B3 | FF13 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/9 |    |      |      |      |    |    | 0031 | FF | 0019 | FFFE | B3 | FF13 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/10|    |      | IORQ |      |    | WR | 011D | FF | 0019 | FFFE | B3 | FF13 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/11|    |      |      |      |    |    | 011D | FF | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/12|    |      |      |      |    |    | 011D | FF | 0019 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/13|    |      |      |      |    |    | 011D | FF | 0017 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/14|    |      |      |      |    |    | 011D | FF | 0017 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
|10/15|    |      |      |      |    |    | 011D | FF | 0017 | FFFE | B3 | FF17 | 011D | 0032 | FF | AA,FF | OTIR         |
